RM,MEDV
5.818,10.5
6.406,17.1
6.219,18.4
6.485,15.4
5.854,10.8
6.459,11.8
6.341,14.9
6.251,12.6
6.185,14.1
6.417,13
6.749,13.4
6.655,15.2
6.297,16.1
7.393,17.8
6.728,14.9
6.525,14.1
5.976,12.7
5.936,13.5
6.301,14.9
6.081,20
6.701,16.4
6.376,17.7
6.317,19.5
6.513,20.2
6.209,21.4
5.759,19.9
5.952,19
6.003,19.1
5.926,19.1
5.713,20.1
6.167,19.9
6.229,19.6
6.437,23.2
6.98,29.8
5.427,13.8
6.162,13.3
6.484,16.7
5.304,12
6.185,14.6
6.229,21.4
6.242,23
6.75,23.7
7.061,25
5.762,21.8
5.871,20.6
6.312,21.2
6.114,19.1
5.905,20.6
5.454,15.2
5.414,7
5.093,8.1
5.983,13.6
5.983,20.1
5.707,21.8
5.926,24.5
5.67,23.1
5.39,19.7
5.794,18.3
6.019,21.2
5.569,17.5
6.027,16.8
6.593,22.4
6.12,20.6
6.976,23.9
6.794,22
6.03,11.9
